City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
188,Galveston,US,2022-02-10 18:49:27,29.3669,-94.9669,70.99,42,0,5.75
189,Urdoma,RU,2022-02-10 18:53:55,61.7533,48.5442,22.28,92,100,8.97
190,Queimadas,BR,2022-02-10 18:50:15,-10.9783,-39.6264,94.66,30,4,8.66
191,Eyl,SO,2022-02-10 18:53:56,7.9803,49.8164,73.09,63,0,19.1
192,Huejuquilla El Alto,MX,2022-02-10 18:53:57,22.6,-103.8667,66.52,11,0,7.23
193,Kandrian,PG,2022-02-10 18:53:57,-6.2167,149.55,76.84,88,93,5.23
194,Jiazi,CN,2022-02-10 18:53:58,22.8779,116.067,60.78,84,100,17.58
195,Deder,ET,2022-02-10 18:53:58,9.3167,41.45,58.32,38,8,5.61
196,Zuwarah,LY,2022-02-10 18:53:59,32.9312,12.082,56.01,61,0,9.62
197,Gushikawa,JP,2022-02-10 18:53:59,26.3544,127.8686,60.03,80,20,4.61
198,Talara,PE,2022-02-10 18:54:00,-4.5772,-81.2719,84.96,54,40,12.66
199,Waingapu,ID,2022-02-10 18:54:01,-9.6567,120.2641,76.6,86,100,4.76
200,Puerto Carreno,CO,2022-02-10 18:51:25,6.189,-67.4859,94.98,38,20,3.44
201,Yima,CN,2022-02-10 18:54:02,34.7381,111.8839,36.03,56,91,2.71
202,Hilo,US,2022-02-10 18:54:02,19.7297,-155.09,75.25,76,18,1.01
203,Belomorsk,RU,2022-02-10 18:54:03,64.5232,34.7668,21.61,92,88,8.34
204,Verkhoyansk,RU,2022-02-10 18:54:03,67.5447,133.385,-40.0,100,98,1.61
205,Pipri,IN,2022-02-10 18:54:04,19.8,75.5333,68.58,52,63,0.0
206,Arlit,NE,2022-02-10 18:54:04,18.7369,7.3853,71.56,10,0,8.16
207,La Orilla,MX,2022-02-10 18:54:05,17.9833,-102.2333,81.54,49,100,8.63
208,Torbay,CA,2022-02-10 18:54:06,47.6666,-52.7314,42.89,76,20,4.0
209,Amilly,FR,2022-02-10 18:54:06,47.9728,2.7719,46.15,93,100,5.08
210,Nantucket,US,2022-02-10 18:54:07,41.2835,-70.0995,52.14,78,6,19.1
211,Namibe,AO,2022-02-10 18:54:08,-15.1961,12.1522,74.1,79,100,6.06
212,Moranbah,AU,2022-02-10 18:54:09,-22.0016,148.0466,71.53,85,0,6.87
213,Ancud,CL,2022-02-10 18:54:09,-41.8697,-73.8203,65.43,48,4,13.31
214,Dikson,RU,2022-02-10 18:54:10,73.5069,80.5464,6.12,93,100,28.45
215,Katihar,IN,2022-02-10 18:54:11,25.5333,87.5833,62.31,67,0,6.55
216,Bathsheba,BB,2022-02-10 18:54:11,13.2167,-59.5167,84.81,51,20,25.32
217,Isangel,VU,2022-02-10 18:54:12,-19.55,169.2667,78.91,89,100,19.57
218,Vestmannaeyjar,IS,2022-02-10 18:54:12,63.4427,-20.2734,32.99,86,40,11.5
219,Zhigalovo,RU,2022-02-10 18:54:13,54.8097,105.1578,-31.36,100,88,0.58
220,Kavieng,PG,2022-02-10 18:53:16,-2.5744,150.7967,81.25,79,98,7.96
221,Osypenko,UA,2022-02-10 18:54:14,46.9136,36.8253,40.84,89,100,11.14
222,New Norfolk,AU,2022-02-10 18:54:14,-42.7826,147.0587,53.71,54,15,2.48
223,Vagur,FO,2022-02-10 18:54:15,61.4732,-6.8119,36.18,50,98,11.72
224,San Nicolas,PH,2022-02-10 18:54:15,18.1725,120.5953,71.51,94,20,1.14
225,Muromtsevo,RU,2022-02-10 18:54:16,56.3724,75.2418,-11.65,100,41,5.41
226,Aden,YE,2022-02-10 18:54:17,12.7794,45.0367,76.46,67,7,16.87
227,Dabat,ET,2022-02-10 18:54:17,12.9842,37.765,57.54,45,6,3.6
228,Atuona,PF,2022-02-10 18:51:46,-9.8,-139.0333,78.26,73,0,17.31
229,Westport,US,2022-02-10 18:54:18,41.1415,-73.3579,54.18,53,8,11.01
230,Lipin Bor,RU,2022-02-10 18:54:18,60.2622,37.9763,26.56,94,93,9.71
231,Luderitz,NA,2022-02-10 18:54:19,-26.6481,15.1594,74.32,50,3,19.91
232,Araouane,ML,2022-02-10 18:54:19,18.9048,-3.5265,70.99,13,12,11.54
233,Phan Thiet,VN,2022-02-10 18:54:20,10.9333,108.1,73.67,83,98,6.42
234,Ribeira Grande,PT,2022-02-10 18:52:15,38.5167,-28.7,61.2,77,20,10.36
235,Dunda,TZ,2022-02-10 18:54:21,-8.1167,34.25,64.15,96,100,2.91
236,Saint-Pierre,RE,2022-02-10 18:54:22,-21.3393,55.4781,76.68,78,75,4.61
237,Moundou,TD,2022-02-10 18:54:23,8.5667,16.0833,82.33,10,93,5.3
238,Rognan,NO,2022-02-10 18:54:23,67.0953,15.3878,32.14,93,100,16.17
239,Tecoanapa,MX,2022-02-10 18:54:24,16.5167,-98.75,81.86,55,100,9.64
240,Yumen,CN,2022-02-10 18:54:24,40.2833,97.2,24.58,45,100,10.02
241,Sur,OM,2022-02-10 18:54:25,22.5667,59.5289,69.35,54,0,2.51
242,Luanda,AO,2022-02-10 18:50:25,-8.8368,13.2343,80.6,54,75,9.22
243,Sulphur,US,2022-02-10 18:54:26,30.2366,-93.3774,71.58,35,0,0.0
244,Ambagarh Chauki,IN,2022-02-10 18:54:27,20.7833,80.7167,62.33,44,6,4.7
245,Beringovskiy,RU,2022-02-10 18:54:27,63.05,179.3167,-27.44,93,24,3.47
246,Tieli,CN,2022-02-10 18:54:28,46.95,128.05,8.6,95,100,3.69
247,Vila Franca Do Campo,PT,2022-02-10 18:54:29,37.7167,-25.4333,63.19,72,99,9.13
248,Asau,RO,2022-02-10 18:54:29,46.4333,26.4,47.32,91,13,6.53
249,Mehamn,NO,2022-02-10 18:54:30,71.0357,27.8492,21.11,89,95,7.67
250,Cabedelo,BR,2022-02-10 18:54:31,-6.9811,-34.8339,88.47,61,13,10.42
251,Mbandaka,CD,2022-02-10 18:54:31,0.0487,18.2603,79.84,36,27,2.57
252,Havre,FR,2022-02-10 18:54:31,49.5833,0.3333,42.57,75,0,6.91
253,Beyneu,KZ,2022-02-10 18:54:32,45.3167,55.2,36.39,80,100,6.42
254,Sinnamary,GF,2022-02-10 18:54:32,5.3833,-52.95,79.57,80,37,11.3
255,Noumea,NC,2022-02-10 18:54:33,-22.2763,166.4572,80.01,99,100,26.78
256,Puerto Escondido,MX,2022-02-10 18:54:34,15.85,-97.0667,83.91,54,4,8.41
257,Awjilah,LY,2022-02-10 18:54:34,29.1081,21.2869,54.59,48,5,7.65
258,Taguatinga,BR,2022-02-10 18:54:35,-12.3857,-46.5711,81.95,70,74,7.29
259,Hervey Bay,AU,2022-02-10 18:54:35,-25.2986,152.8535,66.31,77,0,12.37
260,Biskamzha,RU,2022-02-10 18:54:36,53.4497,89.5272,-13.95,99,8,3.71
261,Hokitika,NZ,2022-02-10 18:54:37,-42.7167,170.9667,59.77,83,100,3.24
262,Krasnyy Chikoy,RU,2022-02-10 18:54:37,50.3643,108.7512,-15.74,99,98,1.86
263,Rabo De Peixe,PT,2022-02-10 18:51:15,37.8,-25.5833,62.28,79,20,11.5
264,Lagoa,PT,2022-02-10 18:54:38,39.05,-27.9833,58.51,72,100,4.56
265,Petropavlovsk-Kamchatskiy,RU,2022-02-10 18:54:39,53.0452,158.6483,10.99,79,0,8.95
266,Itacoatiara,BR,2022-02-10 18:54:39,-3.1431,-58.4442,83.61,77,100,2.46
267,Camalu,MX,2022-02-10 18:54:40,30.85,-116.0667,81.43,24,0,7.2
268,Hofn,IS,2022-02-10 18:54:41,64.2539,-15.2082,25.47,61,53,7.81
269,Rio Gallegos,AR,2022-02-10 18:54:41,-51.6226,-69.2181,55.45,35,75,32.21
270,San Matias,BO,2022-02-10 18:54:42,-16.3667,-58.4,85.17,69,73,4.88
271,Castro,BR,2022-02-10 18:54:43,-24.7911,-50.0119,76.26,59,37,6.82
272,Flinders,AU,2022-02-10 18:53:06,-34.5833,150.8552,70.18,85,69,11.01
273,Longyearbyen,SJ,2022-02-10 18:54:43,78.2186,15.6401,22.84,74,75,10.36
274,Fomboni,KM,2022-02-10 18:54:44,-12.28,43.7425,82.29,73,100,6.08
275,Kargasok,RU,2022-02-10 18:54:45,59.0556,80.8572,-19.44,100,80,2.73
276,Craig,US,2022-02-10 18:53:24,40.5153,-107.5464,39.54,99,82,3.36
277,Chenzhou,CN,2022-02-10 18:54:45,25.8,113.0333,41.23,98,100,2.53
278,Barcelos,PT,2022-02-10 18:54:46,41.5388,-8.6151,58.91,74,100,2.1
279,Novobataysk,RU,2022-02-10 18:54:46,46.8981,39.7819,38.17,96,100,12.44
280,Avera,US,2022-02-10 18:54:47,33.194,-82.5271,68.92,29,6,8.1
281,Manacor,ES,2022-02-10 18:54:48,39.5696,3.2096,53.38,81,0,2.84
282,San Cristobal,VE,2022-02-10 18:54:48,7.7669,-72.225,77.18,47,65,2.3
283,Thompson,CA,2022-02-10 18:52:09,55.7435,-97.8558,-7.44,71,100,16.11
284,Iqaluit,CA,2022-02-10 18:53:01,63.7506,-68.5145,-9.67,77,100,4.61
285,Lysva,RU,2022-02-10 18:54:49,58.1086,57.8053,16.21,87,100,11.48
286,Ostersund,SE,2022-02-10 18:51:44,63.1792,14.6357,27.05,80,75,6.91
287,Launceston,AU,2022-02-10 18:54:50,-41.45,147.1667,55.04,66,75,9.22
288,Bethel,US,2022-02-10 18:54:42,41.3712,-73.414,52.48,51,10,8.01
289,Grenada,ES,2022-02-10 18:50:37,37.1882,-3.6067,55.9,49,0,5.75
290,Saint-Joseph,RE,2022-02-10 18:54:51,-21.3667,55.6167,75.58,80,14,4.16
291,Biltine,TD,2022-02-10 18:54:52,14.5333,20.9167,71.69,9,0,13.47
292,Wexford,IE,2022-02-10 18:54:52,52.3342,-6.4575,42.58,80,4,12.82
293,Sokoto,NG,2022-02-10 18:54:53,13.0609,5.239,79.05,10,7,9.95
294,Meulaboh,ID,2022-02-10 18:54:54,4.1363,96.1285,76.19,82,100,3.58
295,Vanavara,RU,2022-02-10 18:52:20,60.34,102.2797,-17.16,100,99,2.21
296,Canico,PT,2022-02-10 18:54:54,32.6333,-16.85,68.72,88,75,3.44
297,Huangmei,CN,2022-02-10 18:54:55,30.1924,116.025,41.49,88,100,5.3
298,Solnechnyy,RU,2022-02-10 18:54:55,50.7214,136.6319,-2.78,97,85,3.78
299,Dakar,SN,2022-02-10 18:50:01,14.6937,-17.4441,95.88,37,12,11.5
300,Axim,GH,2022-02-10 18:54:56,4.8699,-2.2405,79.93,83,0,7.58
301,Guiratinga,BR,2022-02-10 18:52:13,-16.3494,-53.7583,75.22,80,100,6.42
302,Japura,ID,2022-02-10 18:54:57,-0.3167,102.35,71.89,98,100,3.47
303,Vydrino,RU,2022-02-10 18:54:57,51.485,104.8461,-6.23,94,100,2.44
304,Mindyak,RU,2022-02-10 18:54:58,54.0231,58.7891,9.0,96,100,3.38
305,Kismayo,SO,2022-02-10 18:54:59,-0.3582,42.5454,77.32,81,5,17.6
306,Nyurba,RU,2022-02-10 18:55:00,63.2842,118.3319,-33.03,100,88,2.75
307,Sayyan,YE,2022-02-10 18:55:00,15.1718,44.3244,56.28,31,0,2.3
308,Troitsko-Pechorsk,RU,2022-02-10 18:55:01,62.7084,56.1964,24.49,90,100,11.81
309,Callaway,US,2022-02-10 18:55:02,30.153,-85.5699,69.19,37,0,6.91
310,Bordei Verde,RO,2022-02-10 18:55:02,45.0833,27.5667,43.97,61,3,9.66
311,Teknaf,BD,2022-02-10 18:55:03,20.8624,92.3058,65.98,69,5,9.24
312,Ilheus,BR,2022-02-10 18:55:03,-14.7889,-39.0494,87.62,66,40,11.5
313,Mayo,US,2022-02-10 18:55:04,38.8876,-76.5119,61.14,36,100,9.22
314,Sitka,US,2022-02-10 18:52:48,57.0531,-135.33,37.29,65,75,17.27
315,Graciano Sanchez,MX,2022-02-10 18:55:05,23.9167,-99.2833,65.35,51,97,6.38
316,Alice Springs,AU,2022-02-10 18:52:45,-23.7,133.8833,62.15,88,0,0.0
317,Severo-Yeniseyskiy,RU,2022-02-10 18:55:06,60.3725,93.0408,-17.84,100,84,1.97
318,Xudat,AZ,2022-02-10 18:55:06,41.631,48.681,39.88,89,100,6.26
319,Suez,EG,2022-02-10 18:55:07,29.9737,32.5263,55.98,54,44,8.05
320,Sijunjung,ID,2022-02-10 18:55:07,-0.6876,100.9537,70.61,92,100,0.69
321,Sidhi,IN,2022-02-10 18:55:08,24.4167,81.8833,55.92,64,0,4.76
322,Itarema,BR,2022-02-10 18:51:56,-2.9248,-39.9167,84.7,60,96,10.58
323,Broome,US,2022-02-10 18:55:09,42.2506,-75.833,42.93,59,24,8.01
324,Tshikapa,CD,2022-02-10 18:55:08,-6.4167,20.8,70.43,97,100,3.83
325,Yaan,NG,2022-02-10 18:55:10,7.3833,8.5667,86.94,8,43,5.21
326,Mareeba,AU,2022-02-10 18:55:10,-17.0,145.4333,70.45,94,26,1.83
327,Tres Arroyos,AR,2022-02-10 18:55:11,-38.3739,-60.2798,86.0,32,100,15.21
328,Ust-Kuyga,RU,2022-02-10 18:55:11,70.0167,135.6,-23.15,98,100,8.95
329,Necochea,AR,2022-02-10 18:55:12,-38.5473,-58.7368,85.03,39,1,15.73
330,Mizusawa,JP,2022-02-10 18:55:13,39.1333,141.1333,24.55,96,90,2.98
331,Sao Filipe,CV,2022-02-10 18:55:13,14.8961,-24.4956,78.82,52,100,8.19
332,Umm Bab,QA,2022-02-10 18:55:14,25.2142,50.8072,60.48,56,0,8.9
333,Dingle,PH,2022-02-10 18:55:14,10.9995,122.6711,76.23,81,100,9.44
334,Makakilo City,US,2022-02-10 18:55:15,21.3469,-158.0858,77.2,72,0,0.0
335,Coruripe,BR,2022-02-10 18:55:16,-10.1256,-36.1756,84.61,61,7,16.78
336,Zyryanskoye,RU,2022-02-10 18:55:16,56.8306,86.6258,-18.65,100,62,3.67
337,Shaoyang,CN,2022-02-10 18:55:17,27.2315,111.4525,38.7,94,100,3.42
338,Tokur,RU,2022-02-10 18:51:07,53.1333,132.9,-5.33,99,100,2.13
339,Port Hardy,CA,2022-02-10 18:55:18,50.6996,-127.4199,46.76,93,75,4.61
340,Whitianga,NZ,2022-02-10 18:55:18,-36.8333,175.7,73.02,97,98,3.71
341,Saint-Leu,RE,2022-02-10 18:55:19,-21.15,55.2833,76.06,80,16,7.72
342,Nishihara,JP,2022-02-10 18:55:19,26.1842,127.7558,60.08,72,75,4.61
343,Tamale,GH,2022-02-10 18:55:20,9.4008,-0.8393,88.56,9,0,3.76
344,Ramos Arizpe,MX,2022-02-10 18:55:21,25.55,-100.9667,63.82,45,89,7.54
345,Jalu,LY,2022-02-10 18:55:21,29.0331,21.5482,54.48,49,5,7.65
346,Sept-Iles,CA,2022-02-10 18:55:22,50.2001,-66.3821,30.72,93,100,7.0
347,Ponta Do Sol,PT,2022-02-10 18:53:24,32.6667,-17.1,68.72,81,100,7.49
348,Cabo San Lucas,MX,2022-02-10 18:55:23,22.8909,-109.9124,82.51,57,0,6.46
349,Taseyevo,RU,2022-02-10 18:55:23,57.2169,94.8978,-18.62,100,88,2.15
350,Usinsk,RU,2022-02-10 18:55:24,65.9939,57.5281,23.88,94,100,24.07
351,Krasnozerskoye,RU,2022-02-10 18:55:25,53.9828,79.2374,-21.21,100,24,4.99
352,Qeshm,IR,2022-02-10 18:55:26,26.9581,56.2719,60.69,54,0,3.56
353,Ibb,YE,2022-02-10 18:51:21,13.9667,44.1833,62.96,70,10,0.72
354,Birin,NP,2022-02-10 18:55:26,26.8865,88.0718,45.79,82,93,2.21
355,Kamaishi,JP,2022-02-10 18:55:27,39.2667,141.8833,31.24,83,98,10.09
356,Ipojuca,BR,2022-02-10 18:55:27,-8.3989,-35.0639,85.91,56,88,12.59
357,Unnao,IN,2022-02-10 18:55:28,26.5333,80.5,55.38,71,0,7.61
358,Bakchar,RU,2022-02-10 18:55:29,57.0186,82.0711,-11.6,100,21,3.74
359,Marovoay,MG,2022-02-10 18:55:29,-16.1,46.6333,80.74,95,100,5.08
360,Mackay,AU,2022-02-10 18:55:30,-21.15,149.2,72.68,94,25,5.75
361,Santa Isabel,BR,2022-02-10 18:55:30,-23.3156,-46.2214,79.9,77,98,7.72
362,Killarney,IE,2022-02-10 18:55:31,52.05,-9.5167,37.69,84,15,3.71
363,Bria,CF,2022-02-10 18:55:32,6.5423,21.9863,79.92,19,16,1.66
364,Praia Da Vitoria,PT,2022-02-10 18:55:32,38.7333,-27.0667,61.05,88,20,7.16
365,Villazon,BO,2022-02-10 18:55:33,-22.0866,-65.5942,67.05,24,94,11.3
366,Peace River,CA,2022-02-10 18:55:33,56.2501,-117.286,39.51,81,100,14.97
367,Byron Bay,AU,2022-02-10 18:55:34,-28.65,153.6167,69.87,86,17,10.36
368,Bandarbeyla,SO,2022-02-10 18:55:35,9.4942,50.8122,74.05,61,5,19.66
369,Bud,US,2022-02-10 18:55:35,39.447,-86.1758,41.76,75,88,13.78
370,Huarmey,PE,2022-02-10 18:55:36,-10.0681,-78.1522,75.4,69,100,9.62
371,Tiberias,IL,2022-02-10 18:55:37,32.7922,35.5312,49.37,84,8,2.93
372,Lima,PE,2022-02-10 18:55:37,-12.0432,-77.0282,74.14,69,75,10.36
373,Trofors,NO,2022-02-10 18:55:38,65.5333,13.4063,33.26,95,100,6.73
374,Shimoda,JP,2022-02-10 18:55:38,34.6667,138.95,38.1,85,100,15.88
375,Umkomaas,ZA,2022-02-10 18:55:39,-30.2067,30.7978,77.59,87,29,2.93
376,Anaconda,US,2022-02-10 18:55:40,46.1285,-112.9423,44.78,93,56,7.61
377,Xingcheng,CN,2022-02-10 18:55:40,40.6167,120.7167,28.4,61,5,6.49
